job_title,company,job_location,job_link,first_seen,search_city,search_country,job level,job_type,job_summary,job_skills,job_skills_raw,job_skills_cleaned
Data Engineer,The Reject Shop,"Kensington, Victoria, Australia",https://au.linkedin.com/jobs/view/data-engineer-at-the-reject-shop-3767520951,2023-12-17,Redcliffe, Australia,Associate,Hybrid,"The Reject Shop is an ASX listed Discount Variety retailer currently operating more than 380 stores nationally. We pride ourselves on our supportive team culture and understanding our customers, delivering the best value and variety possible.
At The Reject Shop we are Passionate about helping All Australians save money EVERY DAY! This is our heart and the pure essence of everything that we do!
Having embarked on a mission to completely re-imagine our technology landscape with our new data platform at the core, we are seeking data engineers to help us on this journey.
As part of the data platform team you will be helping to change the way that we think about technology outcomes.  You will have the opportunity to play a major part in our technology renewal, especially how we use data to drive our business.  This is an exciting chance to help drive change and influence technology direction.
In the role, you will work collaboratively with our business teams to identify and understand problems and opportunities.  With other members of the Technology Team you will help ensure solutions achieve desired business outcomes.  You will be laser-focused on finding ways to iteratively unlock value and seeking continuous improvement across our business and technology processes.
Most importantly, you will enjoy be calm under pressure and thrive of experimenting and innovating.
Develop data pipelines that enables data to be more accessible for business and technology teams
Design and develop solutions to business problems using a wide selection of Azure Data services
Develop integrations with cloud-based solutions that meet their needs without compromising the integrity of our internal architecture
Assist in the development of data models to enable self-service of data
Collaborate with business and technology teams to lift their data understanding and highlight opportunities to solve problems using modern data approaches
Ensure the operational efficiency of the platform
Perform proof of concepts on new approaches and technologies to support the evolution of our environment
Ideally, you will be tertiary qualified in IT with experience in a similar role.  You will work well with others both inside and outside of the team and have an appetite to continue to learn and improve.
Along with this, you will have:
Good experience working in a cloud based environment
Design and implementation experience using Azure data services including Synapse, Azure Data Factory, Logic Apps, Azure Databricks, Azure Logging and Monitoring, Synapse, Azure Data Lake, Azure Data Factory, Azure SQL Database, Azure Analysis Services, Power BI
Experience with data modelling
Great SQL skills
A good knowledge of CI/CD and experience in a programming language such as C#, Javascript or Python.
Whilst not essential, experience in integrating legacy systems with a modern data platform would be beneficial
What We Offer:
A supportive and diverse culture. At TRS we care about your wellbeing and are committed to providing a fun, safe and respectful environment
Hybrid working model (Monday - Wednesday in office - Thursday & Friday WFH)
Team Member discount for you and an immediate family member (permanent team members)
Thrive - Supporting financial wellbeing and providing Instant access to your pay
Paid parental leave program supporting primary and secondary care givers
Employee Assistance Program - free and confidential professional counselling for work and personal issues for you and your immediate family members
The chance to make a meaningful impact on the success of a leading retail brand.
If this sounds like you and you meet most of the competencies outlined above, then we encourage you to apply, Why not Join
The Reject Shop
, and Help all Australians save money every day!
Show more
Show less","Data engineering, Azure Data services, Synapse, Azure Data Factory, Azure Databricks, Azure Logging, Azure SQL Database, Azure Analysis Services, Power BI, Data modelling, SQL, C#, Javascript, Python, CI/CD","data engineering, azure data services, synapse, azure data factory, azure databricks, azure logging, azure sql database, azure analysis services, power bi, data modelling, sql, c, javascript, python, cicd","azure analysis services, azure data factory, azure data services, azure databricks, azure logging, azure sql database, c, cicd, data engineering, data modelling, javascript, powerbi, python, sql, synapse"
Data Analyst,Robert Half,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/data-analyst-at-robert-half-3780086337,2023-12-17,Redcliffe, Australia,Associate,Hybrid,"The Company
Robert Half has been exclusively retained to appoint a newly created role of Data Analyst for a Global Construction Solutions Enterprise, based at its Melbourne headquarters.
Our client is a global industry leader with ongoing acquisitive and organic growth plans, providing access solutions to the commercial, industrial and construction sectors.
The Role
Reporting directly to the Managing Director (APAC), this role will suit a developing Data Analyst professional, joining an organisation that invests in its employee's development.
This role has two key areas of responsibility:
1. To provide timely analysis on
business performance issues and data analysis management
across the Australian and APAC business operations to include:
APAC Reporting & Financial Statement Close Process (FSCP) required for global for monthly and quarterly deliverables.
Analysis of existing Financial & Business cases & Data Analysis, assessment of existing and future Project Pipeline
2. To assist in the Managing Director in
delivering business transformation projects in the APAC region
by supporting feasibilities and analysis of Transformation and Projects Initiatives
Some of the more specific responsibilities will include ;
Analysis & Reporting
Provide accurate and timely variance and financial analysis on the APAC region results.
Preparation of monthly/quarterly regional reports.
Developing business cases, feasibility reports and cost/benefit analysis for solutions and proposals.
Manage the administration of the Australian and APAC Division's job evaluation tool
Assist with the development of the APAC business strategy.
Compiling charts, tables, and other elements of internal and external data visualisation.
Business Transformation
Work with project teams to validate and document current state processes and contribute to the development of efficient and customer focused future state processes.
Provide appropriate data analysis to support project initiatives.
Map, analyse and model processes.
Establish, update, monitor and report on project progress, action registers, risk, and issues log to ensure transparency of issues, conflicting priorities, and escalations are actioned.
Your Profile
You are a highly competent Data Analyst, with sound financial literacy, with an ability to identify issues and areas for improvement through analysis and have demonstrated implementing new processes and systems.
Essential to the role are:
A 'hands on' problem solver and critical thinker.
Work collaboratively within the project team, internal stakeholders, subcontractors, clients & consultants to achieve positive project and community outcomes.
Strong 'can do' attitude with clear ownership of decisions.
Minimum of 2 years in a similar role within the construction industry.
Strong Microsoft Excel and PowerPoint skills.
Excellent written, numeracy and verbal communication skills.
Experience within the Engineering and or Construction industries, highly desirable.
You will be joining a transparent, non-hierarchical culture with a strong commitment to flexible/hybrid work.
Apply Today
Please send your resume by clicking on the apply button. Your application will be assessed within 3-5 working days. Please note only shortlisted candidates will be contacted.
Learn more about our recruitment services: https://www.roberthalf.com.au/contact-us
PLEASE NOTE THAT ONLY APPLICANTS WITH FULL WORKING RIGHTS IN AUSTRALIA WILL BE CONSIDERED
Show more
Show less","Data Analysis, Financial Analysis, Business Transformation, Data Visualization, Project Management, Microsoft Excel, PowerPoint, Financial Literacy, Problem Solving, Critical Thinking, Collaboration, Communication","data analysis, financial analysis, business transformation, data visualization, project management, microsoft excel, powerpoint, financial literacy, problem solving, critical thinking, collaboration, communication","business transformation, collaboration, communication, critical thinking, dataanalytics, financial analysis, financial literacy, microsoft excel, powerpoint, problem solving, project management, visualization"
Global HR Data Analyst,Incitec Pivot Limited,"Southbank, Victoria, Australia",https://au.linkedin.com/jobs/view/global-hr-data-analyst-at-incitec-pivot-limited-3756060273,2023-12-17,Redcliffe, Australia,Associate,Hybrid,"The role
Implementing standardised people metrics, analytics & reporting that support the strategic and operational needs of the business. You’ll also maintain our data integrity through SAP and develop a global auditing process.
Global accountability for IPL’s People
metrics, reporting, analytics & insight
including:
Define and produce people metrics in support of the business’ strategic (e.g. talent), operational (e.g. labour productivity) and transactional (e.g. data required by third parties) requirements
Develop a process for extracting and collating the required data for the defined metrics
Develop a process/system/tool to translate that data into metrics in appropriate reports in support of the business’s strategic, operational, and transactional requirements
Produce reports that meet the quality and time requirements of the business
Working closely with the HR community and business leaders to understand operational challenges and provide additional data-driven insight
Lead the interface with IT and other stakeholders to ensure values within our systems are configured and maintained to meet HR requirements
About you:
Ideally you will have formal qualifications in a related field with hands on experience within an enterprise HR Data, Systems or Analytics environment. We work in a SAP environment, hence individuals with prior SAP experience are preferred.
By leveraging your advanced Microsoft Excel skills, you will be able to easily interpret data requests, extract information from diverse sources and formats, and present the data in a manner aligned to the specified requirements.
You should possess experience in constructing HR dashboards, advanced in excel, and experience reporting on Workplace Gender Equality, and DJ Sustainability Index.
Why join us?
We’re a warm, inclusive, and supportive team who work well together (flexibly) in support of delivering an excellent service to the business. This opportunity provides the foundations to take on a wide range of career paths and we continually invest in the development of our people.
About us
Incitec Pivot Limited (IPL) and its subsidiary company Dyno Nobel, is a ASX 100 global leader in the resources and agricultural sectors with an unrelenting focus on Zero Harm. With a diverse leadership, we add value for our customers through manufacturing excellence, innovation, and world class services. We provide ground-breaking solutions through practical innovation in the mining services and agriculture industry. The group comprises more than 5,000 people across the sales, commercial operations, and manufacturing footprint globally, including the key mining markets in North America, Asia Pacific, South Africa and South America.
We regularly have exciting opportunities come up within the business and can offer a rewarding career for the long term
Show more
Show less","SAP, Microsoft Excel, HR Dashboards, HR Analytics, Workplace Gender Equality, DJ Sustainability Index","sap, microsoft excel, hr dashboards, hr analytics, workplace gender equality, dj sustainability index","dj sustainability index, hr analytics, hr dashboards, microsoft excel, sap, workplace gender equality"
Principal and Senior consultant level Microsoft Fabric Data & Analytics Consultants - sponsorship available for any Databricks gurus,BI & DW Australia,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/principal-and-senior-consultant-level-microsoft-fabric-data-analytics-consultants-sponsorship-available-for-any-databricks-gurus-at-bi-dw-australia-3758238438,2023-12-17,Redcliffe, Australia,Associate,Hybrid,"Principal and Senior Consultant level - Microsoft Fabric Data & Analytics Consultants - Overseas sponsorship for any Databricks gurus with niche professional services company experience
A leading Australian based Data & Analytics Professional Services consultancy is looking Senior to Principal Consultants for their Australian practice.
The roles are based in Sydney or Melbourne
What's In It for You
A competitive permanent salary package with the opportunity to work with large enterprise clients in many verticals including financial services, utilities, government and more!
The role
This role is the epitome of the archetypal IT business consultant where you will apply your proven Microsoft Data & Analytics Fabric and/or Databricks development expertise within top ASX 500 style organisations. You will be working exclusively on high level projects and will utilise the Microsoft Fabric technologies, Databricks, Azure Data Factory (ADF) and Power BI. You will become a key member of the team assisting with the growth of the Microsoft Practice.
The skills needed
The ideal candidate for this true technical consulting role will have some or all of the following experience:
Microsoft Platform knowledge of Microsoft Fabric and on prem Microsoft BI technologies
Azure Data Factory experience is expected
Azure Synapse
Azure One Lake
Databricks experience
Power BI experience
Data modelling experience
Ideally previous Professional services experience with niche Data consultancies
Previous on prem SSIS, SSAS (tabular and modular) and SSRS, Power BI experience
High level client liaison skills
Other cloud skills such Snowflake, GCP, AWS or DBT
As mentioned salary levels are excellent and remuneration will match your experience.
There is the possibility of sponsorship for overseas Databricks gurus but you need to be exceptionally good with associated professional services experience.
Show more
Show less","Microsoft Data & Analytics Fabric, Databricks, Azure Data Factory, Power BI, Data modelling, Professional services, SSIS, SSAS, SSRS, Snowflake, GCP, AWS, DBT","microsoft data analytics fabric, databricks, azure data factory, power bi, data modelling, professional services, ssis, ssas, ssrs, snowflake, gcp, aws, dbt","aws, azure data factory, data modelling, databricks, dbt, gcp, microsoft data analytics fabric, powerbi, professional services, snowflake, ssas, ssis, ssrs"
Data Engineer,CareCone Group,"Melbourne, Victoria, Australia",https://au.linkedin.com/jobs/view/data-engineer-at-carecone-group-3781964575,2023-12-17,Redcliffe, Australia,Mid senior,Onsite,"Position: Data Engineer - Redshift
Location: Melbourne/Sydney/Brisbane
Permanent Position
Job description
Must to have:
Previous knowledge of SDS and SDS2 environments
Extensive SQL Skills
Good understnaidng of Postgress & DB2
Redshift
Good to have:
Some data analysis experience
Interested candidates can send their updated resume to Dhivya.Natarajan@carecone.com.au or reach me @ M: 61281982279
Show more
Show less","Data Engineer, Redshift, SDS, SDS2, SQL, Postgress, DB2","data engineer, redshift, sds, sds2, sql, postgress, db2","dataengineering, db2, postgress, redshift, sds, sds2, sql"
Data Engineer - IBM MDM,Tech Mahindra,"Victoria, Australia",https://au.linkedin.com/jobs/view/data-engineer-ibm-mdm-at-tech-mahindra-3769584857,2023-12-17,Redcliffe, Australia,Mid senior,Onsite,"Location :
Brisbane | Sydney | Melbourne
MUST Have ::
DATA Engineer
Hands-on development experience with
IBM MDM
experience
edition 11 +
Experience with
Kafka
and
streaming process
Experience with testing frameworks such as
JUNIT
and
Cucumber
Experience with
Devops
process and
cloud services
(
AWS
)
Grasp of best practice standards
and
patterns
Familiar with
MDM implementation
(physical and virtual) and should be able to understand and contribute to code quickly knowledge and experience
with CI/ CD practices
and
processes
.
Senior engineers
have all about plus and expectation of minimum of 5+ years of experience.
Comprehensive understanding and ability to contribute to all phases of
SDLC
Show more
Show less","Data Engineer, IBM MDM, Apache Kafka, Streaming Process, JUnit, Cucumber, DevOps, AWS, Best Practices, Patterns, MDM Implementation, CI/CD, SDLC","data engineer, ibm mdm, apache kafka, streaming process, junit, cucumber, devops, aws, best practices, patterns, mdm implementation, cicd, sdlc","apache kafka, aws, best practices, cicd, cucumber, dataengineering, devops, ibm mdm, junit, mdm implementation, patterns, sdlc, streaming process"
Data Engineer - REDSHIFT | SQL | DB2,Tech Mahindra,"Victoria, Australia",https://au.linkedin.com/jobs/view/data-engineer-redshift-sql-db2-at-tech-mahindra-3769585617,2023-12-17,Redcliffe, Australia,Mid senior,Onsite,"Location :
Brisbane | Sydney | Melbourne
MUST Have ::
DATA Engineering
experience
with
Redshift, SQL, DB2, POSTGRESS.
Worked as
Data Engineer
in area of
Data Warehousing/Business Intelligence
Very hands on heavy on quickly learning
Data Application, Data Analysis, Scripting, Data Transformation and Reconciliation.
Data Migration
experience if possible
Must have experience working as
DWH modelling, developer, or analyst
for 8+ years
AWS Redshift,
Netezza and
Data Modelling
is a MUST
Must have led a team for minimum 5 people
Must have good collaboration and communication skills
Performance optimization skill and code review skill is a must
Good to have reporting skills like
Cognos, Tableau , ThoughtSpot
etc.
Should have experience in working on various detail designs (HLD and LLD).
Good to have Unix
Shell Scripting
Knowledge
Additional Skills
Control M, Bit bucket/ Source Tree, Jenkins
Should have experience in Cost estimates for development and technical tasks break down
Should have good exposure to
DBFit like ETL testing tools
for test driven development
Should have experience in
DataStage
and
DB2 flex
Show more
Show less","Data Engineering, Redshift, SQL, DB2, PostgreSQL, Data Warehousing, Business Intelligence, Data Application, Data Analysis, Scripting, Data Transformation, Data Reconciliation, Data Migration, DWH Modelling, Data Developer, Data Analyst, AWS Redshift, Netezza, Data Modelling, Cognos, Tableau, ThoughtSpot, Unix Shell Scripting, Control M, Bitbucket, Source Tree, Jenkins, Cost Estimates, DBFit, ETL Testing Tools, Test Driven Development, DataStage, DB2 flex","data engineering, redshift, sql, db2, postgresql, data warehousing, business intelligence, data application, data analysis, scripting, data transformation, data reconciliation, data migration, dwh modelling, data developer, data analyst, aws redshift, netezza, data modelling, cognos, tableau, thoughtspot, unix shell scripting, control m, bitbucket, source tree, jenkins, cost estimates, dbfit, etl testing tools, test driven development, datastage, db2 flex","aws redshift, bitbucket, business intelligence, cognos, control m, cost estimates, data application, data developer, data engineering, data migration, data modelling, data reconciliation, data transformation, dataanalytics, datastage, datawarehouse, db2, db2 flex, dbfit, dwh modelling, etl testing tools, jenkins, netezza, postgresql, redshift, scripting, source tree, sql, tableau, test driven development, thoughtspot, unix shell scripting"
Lead Data Engineer,conundrm.,"Prahran, Victoria, Australia",https://au.linkedin.com/jobs/view/lead-data-engineer-at-conundrm-3731041061,2023-12-17,Redcliffe, Australia,Mid senior,Onsite,"About Conundrm
Conundrm is a fast-growing, innovative, funded start-up at the forefront of predictive analytics. We believe that numeracy is the key to combating misinformation, and we use mathematics and AI to do so. We are committed to delivering exceptional value to our customers through cutting-edge solutions and software.
Position Overview
The Lead Data Engineer at Conundrm plays a pivotal role in ensuring the seamless integration and availability of data for our advanced marketing models. The ideal candidate will have a strong background in data engineering, infrastructure management, and security, with proficiency in Python and R programming. This role demands a proactive approach to ingesting new data sources, deploying models through APIs, maintaining cloud infrastructure, and ensuring a high standard of security.
That all sounds incredibly serious... and the role absolutely is, but the environment we work in is fun, high-performing and friendly.
Generous annual leave and wellbeing packages
4x Mental Health Days (no questions asked) per year
Monthly cultural events; from magicians to productions to competitions
and much much more...
How you'll be contributing:
Data Ingestion: Design and implement processes to ingest new data sources into the company's data ecosystem, ensuring data quality and consistency.
Model Deployment: Collaborate with data scientists and statisticians to expose predictive models through scalable and robust APIs.
Programming: Utilise Python and R for data processing, transformation and integration tasks.
Security and Compliance: Implement and maintain security protocols, ensuring that our data and models are protected against unauthorised access and potential branches.
Who you are:
Bachelor's or Master's degree in Marketing Analytics, Data Science, or a related field.
Strong (minimum 3 years) proficiency in ETL processes, data cleansing techniques and data quality assurance.
Must have expertise in R and Python for data analysis, statistical modelling, and data cleansing.
Experience with data manipulation libraries and frameworks (e.g. Pandas, NumPy, dplyr) and machine learning libraries (e.g. scikit-learn, TensorFlow, Keras)
Data visualisation skills using tools such as Matplotlib, ggplot2 or similar.
Familiarity with marketing analytics concepts such as customer segmentation, customer lifetime value and marketing attribution.
Strong problem-solving skills and the ability to collaborate effectively in a small, tight-knit team.
Excellent communication skills to convey technical findings and marketing insights to team members with diverse backgrounds.
If you are a marketing science enthusiast with a strong background in ETL and data cleansing, combined with proficiency in R and Python, and thrive in a collaborative, agile and innovative team environment, we invite you to apply for this exciting opportunity.
Show more
Show less","Data Engineering, Infrastructure Management, Security, Python, R programming, APIs, Cloud Infrastructure, Data Ingestion, Model Deployment, Data Quality, Data Consistency, Data Processing, Data Transformation, Data Integration, Data Manipulation, Data Cleansing, Data Quality Assurance, ETL Processes, Pandas, NumPy, dplyr, Scikitlearn, TensorFlow, Keras, Machine Learning, Matplotlib, ggplot2, Data Visualization, Marketing Analytics, Customer Segmentation, Customer Lifetime Value, Marketing Attribution, ProblemSolving, Collaboration, Communication","data engineering, infrastructure management, security, python, r programming, apis, cloud infrastructure, data ingestion, model deployment, data quality, data consistency, data processing, data transformation, data integration, data manipulation, data cleansing, data quality assurance, etl processes, pandas, numpy, dplyr, scikitlearn, tensorflow, keras, machine learning, matplotlib, ggplot2, data visualization, marketing analytics, customer segmentation, customer lifetime value, marketing attribution, problemsolving, collaboration, communication","apis, cloud infrastructure, collaboration, communication, customer lifetime value, customer segmentation, data consistency, data engineering, data ingestion, data integration, data manipulation, data processing, data quality, data quality assurance, data transformation, datacleaning, dplyr, etl, ggplot2, infrastructure management, keras, machine learning, marketing analytics, marketing attribution, matplotlib, model deployment, numpy, pandas, problemsolving, python, r programming, scikitlearn, security, tensorflow, visualization"
Software Engineer - Data platform,Gridcog,Australia,https://au.linkedin.com/jobs/view/software-engineer-data-platform-at-gridcog-3764925530,2023-12-17,Redcliffe, Australia,Mid senior,Remote,"About Gridcog:
Gridcog provides advanced software to plan, simulate and optimise decentralised energy projects. Our software is used by large energy suppliers, energy project developers, technology providers and large energy users. We have a loyal and growing customer base across Australia, and are expanding to the UK and Europe.
We believe the future of energy is distributed, smart and clean, and that we can use software to accelerate decarbonisation and to help tackle climate change.
We're a fast growing technology startup and we want to have a global impact. We are looking for smart, savvy and curious learners to join our team and to help invent new technology to lead the world into a decentralised energy future.
About the role:
We’re looking for a Software Engineer with Python and AWS data processing experience to join our team. A key component of the Gridcog platform is ingestion and processing of a wide variety of data sources related to energy generation, usage and prices. From energy regulators, energy suppliers, and customer assets such as solar and wind farms, and large scale batteries. You will help evolve and maintain our data processing infrastructure ensuring reliable delivery of data to help customers design and deliver the most efficient and effective energy transition outcomes.
We're a remote-first team that values some in-person time - our largest cluster is in Perth, followed by Melbourne - but anywhere in Australia could work for the right candidate.
Requirements
Our ideal candidate has:
Proven experience as a software engineer or data engineer
Experience designing and building data integrations and APIs with Python
Experience with data engineering tools, and data processing with pandas, numpy, and similar
Experience with AWS, and familiarity with serverless and event-driven architectures
Experience with ETL/ELT pipelines and both structured and unstructured data stores
Solid algorithm development skills, good understanding of data structures
System design skills: design robust, reliable and highly available online services
Ability to communicate technical concepts clearly to technical and non-technical team members
Experience with API design, database schema design, and automated testing
CI/CD development experience and modern monitoring and observability techniques
What you’ll do:
Build and take ownership of key services for our SaaS product, with a focus on backend services and data flows
Utilise your in-depth knowledge of AWS services to build scalable, reliable, and highly available cloud solutions
Work on data ingestion, processing, aggregation, and data pipeline components to enable seamless data transformation
Design and implement APIs and Event to enable integration with other applications
Scalability and Performance: Optimise software components for performance and scalability to handle large data volumes efficiently
Documentation: Create and maintain clear and comprehensive documentation for software architecture and code
Collaboration: Collaborate with product managers, data engineers, and data scientists to understand and address customer requirements
Problem Solving: Troubleshoot and resolve software issues, including bug fixes, performance improvements, and enhancements
Benefits
Competitive salary package aligned with experience and skills
Opportunity to work in a remote-first business with flexible working arrangements
Weekly opportunities for in-person collaboration at co-working spaces and an annual whole company retreat
Join a high-performing, unapologetic energy and tech nerd team to tackle significant challenges
Engage in a high-trust distributed team environment that values innovation and creative problem-solving
Contribute to the decarbonisation of the world's energy system
Time and budget support for ongoing professional and personal development
Opportunity for ESOP participation
Show more
Show less","Python, AWS, Data engineering, Data integration, API design, ETL/ELT pipelines, Data structures, System design, CI/CD, Monitoring, Observability, SaaS, Cloud solutions, Scalability, Performance, Documentation, Collaboration, Problem solving","python, aws, data engineering, data integration, api design, etlelt pipelines, data structures, system design, cicd, monitoring, observability, saas, cloud solutions, scalability, performance, documentation, collaboration, problem solving","api design, aws, cicd, cloud solutions, collaboration, data engineering, data integration, data structures, documentation, etlelt pipelines, monitoring, observability, performance, problem solving, python, saas, scalability, system design"
Expression of Interest: Data Engineer,Fingerprint for Success (F4S),Australia,https://au.linkedin.com/jobs/view/expression-of-interest-data-engineer-at-fingerprint-for-success-f4s-3787780083,2023-12-17,Redcliffe, Australia,Mid senior,Remote,"We are inviting professionals in high-growth industries who are thinking about their next move or looking for a new opportunity to join our expanding talent pool.
The F4S Talent Pool is a pilot project designed to:
Help job seekers get discovered by our partners based on their anticipated hiring needs.
Provide optional support and resources for job seekers in their career endeavors.
Help individuals understand, and bring out the best in themselves and each other.
The F4S Talent Pool process:
Once you express your interest, you will be asked to complete the F4S work style assessment which measures 48 key attitudes and motivations in the context of work. On completion, you will be automatically added to our growing talent pool and contacted as new opportunities arise.
About Fingerprint For Success (F4S)
Backed by 20+ years of research, F4S’s revolutionary predictive analytics have achieved over 90% reliability in forecasting personal and team motivations, behaviors, and performance. Ultimately, we help people find purpose and fulfillment at work, and help build and scale high performing teams.
Keep in mind, joining our talent pool does not guarantee a job offer. We aim to balance your technical skills with the results of your F4S work style assessment to match the hiring needs of our partners.
Your feedback is a gift! Write to us via:
Powered by JazzHR
7hvHi2rnV9
Show more
Show less","F4S work style assessment, Predictive analytics, Research, Team motivations, Team performance, Hiring needs, JazzHR","f4s work style assessment, predictive analytics, research, team motivations, team performance, hiring needs, jazzhr","f4s work style assessment, hiring needs, jazzhr, predictive analytics, research, team motivations, team performance"
