job_title,company,job_location,job_link,first_seen,search_city,search_country,job level,job_type,job_summary,job_skills,job_skills_raw,job_skills_cleaned
Data Engineer - Scala(U.S. remote),Railroad19,"Hialeah, FL",https://www.linkedin.com/jobs/view/data-engineer-scala-u-s-remote-at-railroad19-3783320898,2023-12-17,Highland Park,United States,Mid senior,Remote,"Railroad19, Inc.
is hiring
remote
Senior Data Engineers
to be a solid technical resource on a dynamic and growing team of accomplished engineers.
Our ideal candidate is passionate about creating well-architected solutions containing thoroughly tested code. The ability to communicate effectively and develop relationships by empathizing with client goals is a highly valued skill within our company culture.
Core Responsibilities:
Develop new and enhance existing application services
Writing tests to maintain code quality
Understand and adapt to our client's evolving business requirements within the television advertising domain.
Participate in detailed technical design sessions to understand client needs and provide productive feedback
Identify new opportunities, tools, and services to enhance the software platform
Support and troubleshoot issues, identify the root cause, and proactively recommend corrective actions
Skills & Experience:
Scala 2.12 + development experience
Passionate about developing clean and maintainable code with little or no side-effects
Experience building Restful APIs in Scala using Spark 2.4
Strong hands-on experience with AWS running spark jobs on ephemeral EMR clusters on AWS and S3.
Experience with relational and non-relational databases
Willingness to learn new technologies and takes pride in keeping up with the latest technologies and practices within the Scala and Spark development community
Excellent oral and written communication skills
Strong analytical and problem-solving skills
Self-directed and can effectively deliver solutions with little oversight
A bachelor's or master's degree in computer science, computer engineering, or other technical disciplines or equivalent work experience is preferred but not required.
$120,000 - $160,000 a year
Salary is commensurate with experience.
We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal-opportunity workplace.
#Hiringnow
We are actively hiring (Data Engineers)
#remote #Scala #DataEngineering #ApacheSpark
Show more
Show less","Data engineering, Scala, Spark, AWS, EMR, S3, Relational databases, Nonrelational databases, RESTful APIs, Software architecture, Testing, Troubleshooting, Problem solving, Communication, Selfdirection, AWS","data engineering, scala, spark, aws, emr, s3, relational databases, nonrelational databases, restful apis, software architecture, testing, troubleshooting, problem solving, communication, selfdirection, aws","aws, communication, data engineering, emr, nonrelational databases, problem solving, relational databases, restful apis, s3, scala, selfdirection, software architecture, spark, testing, troubleshooting"
Data Engineer - Scala(U.S. remote),Railroad19,"Miami, FL",https://www.linkedin.com/jobs/view/data-engineer-scala-u-s-remote-at-railroad19-3783321671,2023-12-17,Highland Park,United States,Mid senior,Remote,"Railroad19, Inc.
is hiring
remote
Senior Data Engineers
to be a solid technical resource on a dynamic and growing team of accomplished engineers.
Our ideal candidate is passionate about creating well-architected solutions containing thoroughly tested code. The ability to communicate effectively and develop relationships by empathizing with client goals is a highly valued skill within our company culture.
Core Responsibilities:
Develop new and enhance existing application services
Writing tests to maintain code quality
Understand and adapt to our client's evolving business requirements within the television advertising domain.
Participate in detailed technical design sessions to understand client needs and provide productive feedback
Identify new opportunities, tools, and services to enhance the software platform
Support and troubleshoot issues, identify the root cause, and proactively recommend corrective actions
Skills & Experience:
Scala 2.12 + development experience
Passionate about developing clean and maintainable code with little or no side-effects
Experience building Restful APIs in Scala using Spark 2.4
Strong hands-on experience with AWS running spark jobs on ephemeral EMR clusters on AWS and S3.
Experience with relational and non-relational databases
Willingness to learn new technologies and takes pride in keeping up with the latest technologies and practices within the Scala and Spark development community
Excellent oral and written communication skills
Strong analytical and problem-solving skills
Self-directed and can effectively deliver solutions with little oversight
A bachelor's or master's degree in computer science, computer engineering, or other technical disciplines or equivalent work experience is preferred but not required.
$120,000 - $160,000 a year
Salary is commensurate with experience.
We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal-opportunity workplace.
#Hiringnow
We are actively hiring (Data Engineers)
#remote #Scala #DataEngineering #ApacheSpark
Show more
Show less","Scala 2.12, Spark 2.4, AWS, S3, EMR, SQL, NoSQL, Restful APIs, Version Control","scala 212, spark 24, aws, s3, emr, sql, nosql, restful apis, version control","aws, emr, nosql, restful apis, s3, scala 212, spark 24, sql, version control"
Data Engineer - Scala(U.S. remote),Railroad19,"Miramar, FL",https://www.linkedin.com/jobs/view/data-engineer-scala-u-s-remote-at-railroad19-3783322686,2023-12-17,Highland Park,United States,Mid senior,Remote,"Railroad19, Inc.
is hiring
remote
Senior Data Engineers
to be a solid technical resource on a dynamic and growing team of accomplished engineers.
Our ideal candidate is passionate about creating well-architected solutions containing thoroughly tested code. The ability to communicate effectively and develop relationships by empathizing with client goals is a highly valued skill within our company culture.
Core Responsibilities:
Develop new and enhance existing application services
Writing tests to maintain code quality
Understand and adapt to our client's evolving business requirements within the television advertising domain.
Participate in detailed technical design sessions to understand client needs and provide productive feedback
Identify new opportunities, tools, and services to enhance the software platform
Support and troubleshoot issues, identify the root cause, and proactively recommend corrective actions
Skills & Experience:
Scala 2.12 + development experience
Passionate about developing clean and maintainable code with little or no side-effects
Experience building Restful APIs in Scala using Spark 2.4
Strong hands-on experience with AWS running spark jobs on ephemeral EMR clusters on AWS and S3.
Experience with relational and non-relational databases
Willingness to learn new technologies and takes pride in keeping up with the latest technologies and practices within the Scala and Spark development community
Excellent oral and written communication skills
Strong analytical and problem-solving skills
Self-directed and can effectively deliver solutions with little oversight
A bachelor's or master's degree in computer science, computer engineering, or other technical disciplines or equivalent work experience is preferred but not required.
$120,000 - $160,000 a year
Salary is commensurate with experience.
We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal-opportunity workplace.
#Hiringnow
We are actively hiring (Data Engineers)
#remote #Scala #DataEngineering #ApacheSpark
Show more
Show less","Scala 2.12, Spark 2.4, AWS, EMR, S3, Relational databases, Nonrelational databases, Restful APIs, Apache Spark","scala 212, spark 24, aws, emr, s3, relational databases, nonrelational databases, restful apis, apache spark","apache spark, aws, emr, nonrelational databases, relational databases, restful apis, s3, scala 212, spark 24"
Data Engineer - Scala(U.S. remote),Railroad19,"Pembroke Pines, FL",https://www.linkedin.com/jobs/view/data-engineer-scala-u-s-remote-at-railroad19-3783322684,2023-12-17,Highland Park,United States,Mid senior,Remote,"Railroad19, Inc.
is hiring
remote
Senior Data Engineers
to be a solid technical resource on a dynamic and growing team of accomplished engineers.
Our ideal candidate is passionate about creating well-architected solutions containing thoroughly tested code. The ability to communicate effectively and develop relationships by empathizing with client goals is a highly valued skill within our company culture.
Core Responsibilities:
Develop new and enhance existing application services
Writing tests to maintain code quality
Understand and adapt to our client's evolving business requirements within the television advertising domain.
Participate in detailed technical design sessions to understand client needs and provide productive feedback
Identify new opportunities, tools, and services to enhance the software platform
Support and troubleshoot issues, identify the root cause, and proactively recommend corrective actions
Skills & Experience:
Scala 2.12 + development experience
Passionate about developing clean and maintainable code with little or no side-effects
Experience building Restful APIs in Scala using Spark 2.4
Strong hands-on experience with AWS running spark jobs on ephemeral EMR clusters on AWS and S3.
Experience with relational and non-relational databases
Willingness to learn new technologies and takes pride in keeping up with the latest technologies and practices within the Scala and Spark development community
Excellent oral and written communication skills
Strong analytical and problem-solving skills
Self-directed and can effectively deliver solutions with little oversight
A bachelor's or master's degree in computer science, computer engineering, or other technical disciplines or equivalent work experience is preferred but not required.
$120,000 - $160,000 a year
Salary is commensurate with experience.
We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal-opportunity workplace.
#Hiringnow
We are actively hiring (Data Engineers)
#remote #Scala #DataEngineering #ApacheSpark
Show more
Show less","Scala 2.12, Apache Spark 2.4, AWS, S3, Relational and nonrelational databases, RESTful APIs, EMR clusters","scala 212, apache spark 24, aws, s3, relational and nonrelational databases, restful apis, emr clusters","apache spark 24, aws, emr clusters, relational and nonrelational databases, restful apis, s3, scala 212"
Data Engineer - Scala(U.S. remote),Railroad19,"Hollywood, FL",https://www.linkedin.com/jobs/view/data-engineer-scala-u-s-remote-at-railroad19-3783327032,2023-12-17,Highland Park,United States,Mid senior,Remote,"Railroad19, Inc.
is hiring
remote
Senior Data Engineers
to be a solid technical resource on a dynamic and growing team of accomplished engineers.
Our ideal candidate is passionate about creating well-architected solutions containing thoroughly tested code. The ability to communicate effectively and develop relationships by empathizing with client goals is a highly valued skill within our company culture.
Core Responsibilities:
Develop new and enhance existing application services
Writing tests to maintain code quality
Understand and adapt to our client's evolving business requirements within the television advertising domain.
Participate in detailed technical design sessions to understand client needs and provide productive feedback
Identify new opportunities, tools, and services to enhance the software platform
Support and troubleshoot issues, identify the root cause, and proactively recommend corrective actions
Skills & Experience:
Scala 2.12 + development experience
Passionate about developing clean and maintainable code with little or no side-effects
Experience building Restful APIs in Scala using Spark 2.4
Strong hands-on experience with AWS running spark jobs on ephemeral EMR clusters on AWS and S3.
Experience with relational and non-relational databases
Willingness to learn new technologies and takes pride in keeping up with the latest technologies and practices within the Scala and Spark development community
Excellent oral and written communication skills
Strong analytical and problem-solving skills
Self-directed and can effectively deliver solutions with little oversight
A bachelor's or master's degree in computer science, computer engineering, or other technical disciplines or equivalent work experience is preferred but not required.
$120,000 - $160,000 a year
Salary is commensurate with experience.
We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal-opportunity workplace.
#Hiringnow
We are actively hiring (Data Engineers)
#remote #Scala #DataEngineering #ApacheSpark
Show more
Show less","Scala 2.12, Spark 2.4, Restful APIs, AWS, EMR clusters, S3, Relational databases, Nonrelational databases, Apache Spark","scala 212, spark 24, restful apis, aws, emr clusters, s3, relational databases, nonrelational databases, apache spark","apache spark, aws, emr clusters, nonrelational databases, relational databases, restful apis, s3, scala 212, spark 24"
Data Engineer - Scala(U.S. remote),Railroad19,"Davie, FL",https://www.linkedin.com/jobs/view/data-engineer-scala-u-s-remote-at-railroad19-3783320918,2023-12-17,Highland Park,United States,Mid senior,Remote,"Railroad19, Inc.
is hiring
remote
Senior Data Engineers
to be a solid technical resource on a dynamic and growing team of accomplished engineers.
Our ideal candidate is passionate about creating well-architected solutions containing thoroughly tested code. The ability to communicate effectively and develop relationships by empathizing with client goals is a highly valued skill within our company culture.
Core Responsibilities:
Develop new and enhance existing application services
Writing tests to maintain code quality
Understand and adapt to our client's evolving business requirements within the television advertising domain.
Participate in detailed technical design sessions to understand client needs and provide productive feedback
Identify new opportunities, tools, and services to enhance the software platform
Support and troubleshoot issues, identify the root cause, and proactively recommend corrective actions
Skills & Experience:
Scala 2.12 + development experience
Passionate about developing clean and maintainable code with little or no side-effects
Experience building Restful APIs in Scala using Spark 2.4
Strong hands-on experience with AWS running spark jobs on ephemeral EMR clusters on AWS and S3.
Experience with relational and non-relational databases
Willingness to learn new technologies and takes pride in keeping up with the latest technologies and practices within the Scala and Spark development community
Excellent oral and written communication skills
Strong analytical and problem-solving skills
Self-directed and can effectively deliver solutions with little oversight
A bachelor's or master's degree in computer science, computer engineering, or other technical disciplines or equivalent work experience is preferred but not required.
$120,000 - $160,000 a year
Salary is commensurate with experience.
We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal-opportunity workplace.
#Hiringnow
We are actively hiring (Data Engineers)
#remote #Scala #DataEngineering #ApacheSpark
Show more
Show less","Scala, Spark 2.4, AWS, EMR, S3, Relational databases, Nonrelational databases","scala, spark 24, aws, emr, s3, relational databases, nonrelational databases","aws, emr, nonrelational databases, relational databases, s3, scala, spark 24"
Lead Data Scientist,Alldus,"Tennessee, United States",https://www.linkedin.com/jobs/view/lead-data-scientist-at-alldus-3732426381,2023-12-17,Watertown,United States,Mid senior,Onsite,"Company Overview:
Join a dynamic and innovative healthcare-focused organization at the forefront of leveraging advanced technologies in data science. As a Senior Data Scientist specializing in Natural Language Processing (NLP) and Large Language Models (LLMs), you will play a pivotal role in building end-to-end data science projects that transform healthcare data into actionable insights, ultimately improving patient outcomes and healthcare delivery.
Key Responsibilities:
NLP and LLM Model Development:
Develop state-of-the-art NLP and LLM models to extract valuable information and patterns from electronic health records, medical records, and medical claims data.
Optimize and fine-tune models for accuracy, efficiency, and scalability, ensuring they can handle high volumes of healthcare data in production environments.
End-to-End Data Science Projects:
Lead the design, development, and deployment of end-to-end data science projects from data collection and preprocessing to model development, evaluation, and production deployment.
Collaborate with cross-functional teams to ensure seamless integration of NLP and LLM models into healthcare systems and processes.
Data Processing and Integration:
Engineer and preprocess healthcare data to ensure it is suitable for modeling, addressing challenges such as data cleaning, data augmentation, and feature engineering.
Integrate various data sources and types, including electronic health records, medical records, and medical claims data, to derive comprehensive insights.
Performance Monitoring and Optimization:
Establish monitoring systems to track model performance, detect anomalies, and measure the impact of models on healthcare outcomes.
Continuously optimize models and algorithms to improve performance, scalability, and efficiency in real-world production settings.
Collaboration and Knowledge Sharing:
Collaborate with multidisciplinary teams, including clinicians, data engineers, and product managers, to ensure the alignment of data science projects with organizational goals and objectives.
Share knowledge and insights with the team, keeping them informed about advancements in NLP, LLMs, and healthcare data analytics.
Qualifications
:
Education: Master’s or Ph.D. in a relevant field such as Data Science, Computer Science, Artificial Intelligence, or Healthcare Informatics.
Experience:
Minimum of 3 years of hands-on experience in data science, with a focus on NLP and LLMs in healthcare.
Proven track record of successfully building and deploying data science projects in healthcare settings, particularly using electronic health records and medical claims data.
Technical Skills:
Proficiency in Python and relevant data science libraries (e.g., NLTK, spaCy, transformers).
Strong understanding of NLP techniques, LLMs (e.g., BERT, GPT), and deep learning architectures.
Experience working with healthcare data, including electronic health records and medical claims data.
Healthcare Domain Knowledge:
Understanding of healthcare terminologies, healthcare systems, and healthcare data privacy and compliance standards (e.g., HIPAA).
Communication and Collaboration:
Excellent communication skills, with the ability to effectively convey complex ideas and findings to both technical and non-technical stakeholders.
Proven ability to collaborate in a team-oriented environment and work effectively across multiple departments.
Join us in revolutionizing healthcare data science with NLP and LLMs, and make a significant impact on patient care and outcomes!
Apply directly or send your resume to angelo@alldus.com!
38204
Show more
Show less","Natural Language Processing (NLP), Large Language Models (LLMs), Data Science, Machine Learning, Deep Learning, Python, NLTK, spaCy, transformers, Electronic Health Records (EHR), Medical Records, Medical Claims Data, Data Cleaning, Data Augmentation, Feature Engineering, Model Performance Monitoring, Model Optimization, Scalability, Efficiency, Collaboration, Communication, Healthcare Informatics, BERT, GPT","natural language processing nlp, large language models llms, data science, machine learning, deep learning, python, nltk, spacy, transformers, electronic health records ehr, medical records, medical claims data, data cleaning, data augmentation, feature engineering, model performance monitoring, model optimization, scalability, efficiency, collaboration, communication, healthcare informatics, bert, gpt","bert, collaboration, communication, data augmentation, data cleaning, data science, deep learning, efficiency, electronic health records ehr, feature engineering, gpt, healthcare informatics, large language models llms, machine learning, medical claims data, medical records, model optimization, model performance monitoring, natural language processing nlp, nltk, python, scalability, spacy, transformers"
Data Analyst,Viant Technology,"Irvine, CA",https://www.linkedin.com/jobs/view/data-analyst-at-viant-technology-3788856068,2023-12-17,Pendleton,United States,Associate,Hybrid,"What You’ll Do
Come help us build Viant’s industry leading advanced measurement capabilities. Help marketers understand the impact of their digital media spend through comprehensive, yet simple to read, dashboards. Viant’s Advanced Reporting suite of reports is all about bridging the gap between back-end technical data know-how & business application. Be a part of the process end-to-end; from concept, to scoping, developing, and release of next generation closed-loop measurement offerings.
THE DAY-TO-DAY
Work in synergy with the Product Management team to create automated & ad-hoc reporting to support pre, mid and post-campaign deliverables
Write complex SQL queries to build procedures, functions, and workflows to support application development, reporting and data extraction processes
Keen attention to detail with ability to identify, explain, and troubleshoot data discrepancies
Design, develop, test, debug, and deploy applications and reports using various technologies
GREAT TO HAVE
Professional SQL/GBQ experience with ability to create and optimize queries
Digital advertising, programmatic, or analytics experience
Strong analytical and logical thinking skills with ability to identify trends and draw conclusions based on data
Who We Are
Viant ® (NASDAQ: DSP) is a leading advertising software company that enables marketers to plan, execute and measure omnichannel ad campaigns through a cloud-based platform. Viant’s self-service Demand Side Platform, Adelphic®, powers programmatic advertising across Connected TV, Linear TV, mobile, desktop, audio, gaming and digital out-of-home channels. In 2022, Viant was recognized as a Leader in the DSP category , earned Great Place to Work® certification and Co-Founders Tim and Chris Vanderhook were named EY Entrepreneurs of the Year. To learn more, please visit viantinc.com .
LIFE AT VIANT
Investing in our employee’s professional growth is important to us, but so is investing in their well-being. That’s why Viant was voted one of the best places to work and some of our favorite employee benefits include fully paid health insurance, paid parental leave and unlimited PTO and more.
$57,000 - $70,000 a year
In accordance with California law, the range provided is Viant’s reasonable estimate of the compensation for this role. Final title and compensation for the position will be based on several factors including work experience and education.
Not the right position for you? Check out our other opportunities!
Viant Careers
About Viant
Viant® (NASDAQ: DSP) is a leading people-based advertising technology company that enables marketers to plan, execute and measure omnichannel ad campaigns through a cloud-based platform. Viant’s self-service demand side platform (“DSP”) powers programmatic advertising across Connected TV, Linear TV, mobile, desktop, audio, gaming and digital out-of-home channels. As an organization committed to sustainability, Viant’s Adricity® carbon reduction program helps clients achieve their sustainability goals. In 2023, Viant was recognized by G2 as a Leader in the DSP category and as the Best Software in Marketing & Advertising, earned Great Place to Work® certification, and became a founding member of Ad Net Zero. Viant’s Co-Founders Tim and Chris Vanderhook were also recently named EY Entrepreneurs of the Year.
Based in Irvine, CA, Viant has more than 334 employees in 10 offices around the U.S. To learn more, please visit viantinc.com .
Viant is an equal opportunity employer and makes employment decisions on the basis of merit. Viant prohibits unlawful discrimination against employees or applicants based on race (including traits historically associated with race, such as hair texture and protective hairstyles), religion, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, reproductive health decision making, gender, gender identity, gender expression, age, military status, veteran status, uniformed service member status, sexual orientation, transgender identity, citizenship status, pregnancy, or any other consideration made unlawful by federal, state, or local laws. Viant also prohibits unlawful discrimination based on the perception that anyone has any of those characteristics, or is associated with a person who has or is perceived as having any of those characteristics.
By clicking “Apply for this Job” and providing any information, I accept the Viant California Personnel Privacy Notice.
Show more
Show less","SQL, GBQ, Analytical thinking, Data visualization, Dashboard creation, Programmatic advertising, Digital advertising, Advertising measurement, Data analysis, SQL queries, Report design, Report development, Report deployment, Data troubleshooting, Data validation, Closedloop measurement, Data extraction, Data processing, Report automation, Adhoc reporting, Application development, Data integration, Data modeling, Data mining, Data presentation, Data quality assurance","sql, gbq, analytical thinking, data visualization, dashboard creation, programmatic advertising, digital advertising, advertising measurement, data analysis, sql queries, report design, report development, report deployment, data troubleshooting, data validation, closedloop measurement, data extraction, data processing, report automation, adhoc reporting, application development, data integration, data modeling, data mining, data presentation, data quality assurance","adhoc reporting, advertising measurement, analytical thinking, application development, closedloop measurement, dashboard creation, data extraction, data integration, data mining, data presentation, data processing, data quality assurance, data troubleshooting, data validation, dataanalytics, datamodeling, digital advertising, gbq, programmatic advertising, report automation, report deployment, report design, report development, sql, sql queries, visualization"
Sr Data Analyst,Cushman & Wakefield,"Tampa, FL",https://www.linkedin.com/jobs/view/sr-data-analyst-at-cushman-wakefield-3779634249,2023-12-17,Largo,United States,Mid senior,Onsite,"Job Title
Sr Data Analyst
Job Description Summary
The role is for a Senior Data Analyst as part of a team collecting and analyzing data supporting ad hoc and strategic client projects primarily involving architectural building design.
The candidate will provide advanced expertise in data analysis, collaborate with key client partners, support the data team with identifying project requirements, refining project work, and providing recommendations on optimizing data management and workflows.
Job Description
Core Responsibilities
Collect, clean, study, transform, load, and visualize data for ad hoc and strategic projects
Identify trends and provide insights from data that contribute to solving business problems
Code programs, as needed, to help capture and organize relevant data
Collaborate directly with internal and external partners to satisfy project needs
Clearly communicate useful information to business partners derived from data analysis
Assist in managing completion of team data analysis tasks
Lead problem-solving and refinement of project activities and tasks
Lead project identifying requirements from analysis of current state versus desired future state
Identify opportunities for workflow optimization
Qualifications
Three or more years of experience in data analytics, data management, or related roles
Advanced knowledge of data analytics, cleaning, preparation, and visualization techniques
Advanced experience with data analytics tools and programs (Microsoft Excel, Microsoft Power BI, Python, SQL, Tableau)
Advanced understanding of best practices in data management and visualization
Strong critical thinking and problem solving skills
Strong focus on solutions serving client/end user
Ability to write and speak clearly to both technical and non-technical audiences
Keen attention to both technical detail and quality of work acceptable to client/end user
Demonstrated ability to collaborate effectively with partners across multiple teams
Strong ability to prioritize work tasks in alignment with changing project and team needs
Preferred candidate will have experience managing/analyzing architectural design data
Cushman & Wakefield provides equal employment opportunity. Discrimination of any type will not be tolerated. Cushman & Wakefield is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veteran status or any other characteristic protected by state, federal, or local law.
In compliance with the Americans with Disabilities Act Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position at Cushman & Wakefield, please call the ADA line at
1-888-365-5406
or email
HRServices@cushwake.com
. Please refer to the job title and job location when you contact us.
Show more
Show less","Data Analytics, Data Management, Data Visualization, Microsoft Excel, Microsoft Power BI, Python, SQL, Tableau, Data Cleaning, Data Preparation, Database Management, Critical Thinking, Problem Solving, Communication, Teamwork, Project Management, Architectural Design","data analytics, data management, data visualization, microsoft excel, microsoft power bi, python, sql, tableau, data cleaning, data preparation, database management, critical thinking, problem solving, communication, teamwork, project management, architectural design","architectural design, communication, critical thinking, data cleaning, data management, data preparation, dataanalytics, database management, microsoft excel, microsoft power bi, problem solving, project management, python, sql, tableau, teamwork, visualization"
Data Scientist,BST Global,"Tampa, FL",https://www.linkedin.com/jobs/view/data-scientist-at-bst-global-3770676645,2023-12-17,Largo,United States,Mid senior,Hybrid,"Candidates must be authorized to work in the US without sponsorship.
Summary of Duties & Responsibilities
Data Scientist is an exceptional critical thinker that is adept at solving complex problems and creating elegant business solutions. You will be involved in the design and development efforts for our big data solutions including data lake, Business Intelligence Solutions, Machine Learning, Data Pipeline, and cloud-based data warehouse products.
You must have direct experience in the design and implementation in areas such as machine learning, artificial intelligence, operational research, or statistical methods.
Essential Functions
Demonstrated experience in machine learning techniques, probabilistic reasoning, data science, and/or optimization
Proven ability in creating explainable models and implementing advanced algorithms into production
Experience in implementing supervised and unsupervised machine learning techniques, analysis of variance (ANOVA) and statistical significance test
Demonstrated programming experience in Python, R, Keras, TensorFlow with .NET integration
Acts as a key contributor to all phases of the design and development lifecycle of analytic applications utilizing various technology platforms
Experience developing/implementing analytic solutions in the Amazon or Azure cloud that leverage relational, in-memory, NoSQL, document and/or graph databases
Strong analytical skills, able to translate complex business requirements into sound architectural solutions
Experience designing and implementing data pipeline for analytical model consumption of structured, semi-structured, and/or unstructured data in batch and real-time environments
Experience with APIs, Web Services
Good understanding of dimensional data modeling, data transformation & designing analytical data structures
Good SQL skills, broad exposure to all language constructs
Ability to work in a fast-paced, collaborative team environment
Data Integration / ETL / ELT tools
Excellent written and verbal communication skills and ability to express ideas clearly and concisely
Performs other related duties as directed
Skills & Competencies
5+ years of hand on experience working as a Data Scientist
Power BI with ML integration
Working in Azure environments including Azure ML
Familiarity with DevOps and CI/CD as well as Agile tools and processes including Git, and Azure DevOps
Education or Prior Work Experience
Minimum of a bachelor's degree in computer science, Applied Mathematics or related technical field
Reports to
Director, Software Engineering
Number Supervised
0
Travel
Up to 0%
Classification
Exempt
Work Environment
This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.
Physical Demands
While performing the duties of this job, the employee is regularly required to talk or hear. The employee frequently is required to stand; walk; use hands to finger, handle or feel; and reach with hands and arms.
Show more
Show less","Data Science, Machine Learning, Artificial Intelligence, Optimization, Explainable Models, Advanced Algorithms, Supervised Learning, Unsupervised Learning, Analysis of Variance (ANOVA), Statistical Significance Testing, Python, R, Keras, TensorFlow, .NET Integration, Relational Databases, Inmemory Databases, NoSQL Databases, Document Databases, Graph Databases, Dimensional Data Modeling, Data Transformation, Analytical Data Structures, SQL, APIs, Web Services, Data Integration, ETL, ELT Tools, Power BI, Azure ML, DevOps, CI/CD, Git, Azure DevOps, Agile, Computer Science, Applied Mathematics","data science, machine learning, artificial intelligence, optimization, explainable models, advanced algorithms, supervised learning, unsupervised learning, analysis of variance anova, statistical significance testing, python, r, keras, tensorflow, net integration, relational databases, inmemory databases, nosql databases, document databases, graph databases, dimensional data modeling, data transformation, analytical data structures, sql, apis, web services, data integration, etl, elt tools, power bi, azure ml, devops, cicd, git, azure devops, agile, computer science, applied mathematics","advanced algorithms, agile, analysis of variance anova, analytical data structures, apis, applied mathematics, artificial intelligence, azure devops, azure ml, cicd, computer science, data integration, data science, data transformation, devops, dimensional data modeling, document databases, elt tools, etl, explainable models, git, graph databases, inmemory databases, keras, machine learning, net integration, nosql databases, optimization, powerbi, python, r, relational databases, sql, statistical significance testing, supervised learning, tensorflow, unsupervised learning, web services"
